,,
Categoría,Nombre,Marcas
,TRIPODE FOCO.,
,TRIPODE FOCO.,
,"TRIPODE CAMARA, MANFROTTO",
,BARRA ALTAVOZ TELESCOPICA,
,BARRA ALTAVOZ TELESCOPICA,
,MESA DE PROYECCION,
,MESA DE PROYECCION CON RUEDAS,
,MESA DE PROYECCION CON RUEDAS,
,"SOPORTE PROYECCION TECHO, GUIL-PR14 PLATA",
,,
,ATRIL METACRILATO,
,ATRIL METACRILATO,
MAQUINA DE HUMO,,
,"MAQUINA DE HUMO-MARTIN,  MAGNUM-650, 600W., 160M3/MIN, 600W.",
CABLEADO,,
VGA,,
,"VGA-CABLEADO, 5 MTS.",
,"VGA-CABLEADO, 5 MTS.",
,"VGA-CABLEADO, 10 MTS.",
,"VGA-CABLEADO, 20 MTS.",
,"VGA-CABLEADO, 20 MTS.",
,"VGA-CABLEADO, 20 MTS.",
,"VGA-CABLEADO, 42 MTS.",
,"VGA-CABLEADO, 42 MTS.",
CORRIENTE-ZAPATILLA,,
,"CORRIENTE-CABLEADO-ZAPATILLA, 1 MTS.",
,"CORRIENTE-CABLEADO-ZAPATILLA, 1,50 MTS.",
,"CORRIENTE-CABLEADO-ZAPATILLA, 10 MTS.",
,"CORRIENTE-CABLEADO-ZAPATILLA, 10 MTS.",
,"CORRIENTE-CABLEADO-ZAPATILLA, 15 MTS.",
CORRIENTE-ALARGO,,
,"CORRIENTE-ALARGO, 10 MTS.",
,"CORRIENTE-ALARGO, 10 MTS.",
,"CORRIENTE-ALARGO, 10 MTS.",
,"CORRIENTE-ALARGO, 10 MTS.",
,"CORRIENTE-ALARGO, 15 MTS. BLANCO",
,"CORRIENTE-ALARGO, 20 MTS.",
,"CORRIENTE-ALARGO, 20 MTS.",
,"CORRIENTE-ALARGO, 20 MTS.",
,"CORRIENTE-ALARGO, 20 MTS.",
SPEAKON-CABLEADO.,,
,"SPEAKON-CABLEADO, 1,50 MTS.",
,"SPEAKON-CABLEADO, 1,50 MTS.",
,"SPEAKON-CABLEADO, 10 MTS.",
,"SPEAKON-CABLEADO, 10 MTS.",
,"SPEAKON-CABLEADO, 10 MTS.",
,"SPEAKON-CABLEADO, 10 MTS.",
,"SPEAKON-CABLEADO, 10 MTS.",
,"SPEAKON-CABLEADO, 10 MTS.",
,"SPEAKON-CABLEADO, 15 MTS.",
,"SPEAKON-CABLEADO, 15 MTS.",
,"SPEAKON-CABLEADO, 25 MTS.",
,"SPEAKON-CABLEADO, 25 MTS.",
,"SPEAKON-CABLEADO, 25 MTS.",
,"SPEAKON-CABLEADO, 25 MTS.",
,"SPEAKON-CABLEADO, 25 MTS.",
SUB-BOX-CABLEADO,,
,"SUB-BOX-CABLEADO, 8 CH, 15 MTS.",
,"SUB-BOX-CABLEADO, 8 CH, 15 MTS.",
MICRO-CABLEADO,,
,"MICRO-CABLEADO-AZUL, 3 MTS.",
,"MICRO-CABLEADO-AZUL, 15 MTS.",
,"MICRO-CABLEADO-AZUL, 15 MTS.",
,"MICRO-CABLEADO-AZUL, 15 MTS.",
,"MICRO-CABLEADO-AZUL, 15 MTS.",
,"MICRO-CABLEADO-AZUL, 15 MTS.",
,"MICRO-CABLEADO-AZUL, 15 MTS.",
,"MICRO-CABLEADO-AZUL, 15 MTS.",
,"MICRO-CABLEADO-AZUL, 20 MTS.",
,"MICRO-CABLEADO-AZUL, 20 MTS.",
,"MICRO-CABLEADO-NEGRO, 5 MTS.",
,"MICRO-CABLEADO-NEGRO, 5 MTS.",
,"MICRO-CABLEADO-NEGRO, 5 MTS.",
,"MICRO-CABLEADO-NEGRO, 5 MTS.",
,"MICRO-CABLEADO-NEGRO, 10 MTS.",
,"MICRO-CABLEADO-NEGRO, 10 MTS.",
,"MICRO-CABLEADO-NEGRO, 10 MTS.",
,"MICRO-CABLEADO-NEGRO, 10 MTS.",
,"MICRO-CABLEADO-NEGRO, 10 MTS.",
,"MICRO-CABLEADO-NEGRO, 10 MTS.",
,"MICRO-CABLEADO-NEGRO, 10 MTS.",
,"MICRO-CABLEADO-NEGRO, 10 MTS.",
,"MICRO-CABLEADO-NEGRO, 10 MTS.",
,"MICRO-CABLEADO-NEGRO, 10 MTS.",
,"MICRO-CABLEADO-NEGRO, 5 CANALES, 20 MTS.",
VIDEO-CABLEADO,,"Kramer, Christie"
,"VIDEO-CABLEADO, 1,50 MTS.",
,"VIDEO-CABLEADO, 5 MTS.",
,"VIDEO-CABLEADO, 10 MTS.",
,"VIDEO-CABLEADO, 30 MTS.",
IEC-CABLEADO,,
,"IEC-CABLEADO, SIMPLE, 1,50 MTS.",
,"IEC-CABLEADO, SIMPLE, 1,50 MTS.",
,"IEC-CABLEADO, SIMPLE, 1,50 MTS.",
,"IEC-CABLEADO, SIMPLE, 1,50 MTS.",
,"IEC-CABLEADO, SIMPLE, 1,50 MTS.",
,"IEC-CABLEADO, SIMPLE, 1,50 MTS.",
,"IEC-CABLEADO, SIMPLE, 1,50 MTS.",
,"IEC-CABLEADO, ZAPATILLA, 1,50 MTS.",
,"IEC-CABLEADO, ZAPATILLA, 1,50 MTS.",
TARIMAS,2x1,GUIL
MIDAS,M32R,
,MD16,
